date,year,month_name,precipitation,month
1991-01-01,1991,Jan,2.0,1
1991-02-01,1991,Feb,1.8,2
1991-03-01,1991,Mar,1.6,3
1991-04-01,1991,Apr,2.2,4
1991-05-01,1991,May,4.0,5
1991-06-01,1991,Jun,5.2,6
1991-07-01,1991,Jul,3.0,7
1991-08-01,1991,Aug,4.0,8
1991-09-01,1991,Sep,5.0,9
1991-10-01,1991,Oct,4.0,10
1991-11-01,1991,Nov,4.0,11
1991-12-01,1991,Dec,2.0,12
1992-01-01,1992,Jan,2.2,1
1992-02-01,1992,Feb,1.8,2
1992-03-01,1992,Mar,1.5,3
1992-04-01,1992,Apr,2.2,4
1992-05-01,1992,May,6.0,5
1992-06-01,1992,Jun,5.6,6
1992-07-01,1992,Jul,5.059016393442623,7
1992-08-01,1992,Aug,4.5,8
1992-09-01,1992,Sep,4.3,9
1992-10-01,1992,Oct,4.0,10
1992-11-01,1992,Nov,5.0,11
1992-12-01,1992,Dec,2.2,12
1993-01-01,1993,Jan,1.8,1
1993-02-01,1993,Feb,1.7,2
1993-03-01,1993,Mar,2.0,3
1993-04-01,1993,Apr,1.8,4
1993-05-01,1993,May,4.3,5
1993-06-01,1993,Jun,4.5,6
1993-07-01,1993,Jul,4.745901639344262,7
1993-08-01,1993,Aug,5.0,8
1993-09-01,1993,Sep,4.0,9
1993-10-01,1993,Oct,4.0,10
1993-11-01,1993,Nov,4.3,11
1993-12-01,1993,Dec,1.8,12
1994-01-01,1994,Jan,1.7,1
1994-02-01,1994,Feb,1.5,2
1994-03-01,1994,Mar,1.0,3
1994-04-01,1994,Apr,1.7,4
1994-05-01,1994,May,4.5,5
1994-06-01,1994,Jun,5.0,6
1994-07-01,1994,Jul,4.655737704918033,7
1994-08-01,1994,Aug,4.3,8
1994-09-01,1994,Sep,4.0,9
1994-10-01,1994,Oct,5.0,10
1994-11-01,1994,Nov,4.3,11
1994-12-01,1994,Dec,1.7,12
1995-01-01,1995,Jan,1.0,1
1995-02-01,1995,Feb,2.0,2
1995-03-01,1995,Mar,1.0,3
1995-04-01,1995,Apr,1.0,4
1995-05-01,1995,May,5.0,5
1995-06-01,1995,Jun,4.3,6
1995-07-01,1995,Jul,4.3,7
1995-08-01,1995,Aug,4.3,8
1995-09-01,1995,Sep,5.0,9
1995-10-01,1995,Oct,4.5,10
1995-11-01,1995,Nov,4.0,11
1995-12-01,1995,Dec,1.0,12
1996-01-01,1996,Jan,1.0,1
1996-02-01,1996,Feb,1.0,2
1996-03-01,1996,Mar,1.0,3
1996-04-01,1996,Apr,1.0,4
1996-05-01,1996,May,4.3,5
1996-06-01,1996,Jun,4.3,6
1996-07-01,1996,Jul,4.1524590163934425,7
1996-08-01,1996,Aug,4.0,8
1996-09-01,1996,Sep,5.0,9
1996-10-01,1996,Oct,5.0,10
1996-11-01,1996,Nov,4.0,11
1996-12-01,1996,Dec,1.0,12
1997-01-01,1997,Jan,1.0,1
1997-02-01,1997,Feb,1.0,2
1997-03-01,1997,Mar,1.0,3
1997-04-01,1997,Apr,1.0,4
1997-05-01,1997,May,4.3,5
1997-06-01,1997,Jun,4.0,6
1997-07-01,1997,Jul,3.0,7
1997-08-01,1997,Aug,4.0,8
1997-09-01,1997,Sep,5.0,9
1997-10-01,1997,Oct,4.3,10
1997-11-01,1997,Nov,4.0,11
1997-12-01,1997,Dec,1.0,12
1998-01-01,1998,Jan,1.0,1
1998-02-01,1998,Feb,1.0,2
1998-03-01,1998,Mar,1.5,3
1998-04-01,1998,Apr,1.0,4
1998-05-01,1998,May,4.0,5
1998-06-01,1998,Jun,4.0,6
1998-07-01,1998,Jul,3.0,7
1998-08-01,1998,Aug,5.0,8
1998-09-01,1998,Sep,5.1,9
1998-10-01,1998,Oct,4.3,10
1998-11-01,1998,Nov,4.0,11
1998-12-01,1998,Dec,1.0,12
1999-01-01,1999,Jan,1.0,1
1999-02-01,1999,Feb,1.0,2
1999-03-01,1999,Mar,2.0,3
1999-04-01,1999,Apr,1.0,4
1999-05-01,1999,May,4.0,5
1999-06-01,1999,Jun,5.0,6
1999-07-01,1999,Jul,3.0,7
1999-08-01,1999,Aug,4.5,8
1999-09-01,1999,Sep,5.1,9
1999-10-01,1999,Oct,4.0,10
1999-11-01,1999,Nov,4.1,11
1999-12-01,1999,Dec,1.0,12
2000-01-01,2000,Jan,2.1,1
2000-02-01,2000,Feb,1.0,2
2000-03-01,2000,Mar,1.0,3
2000-04-01,2000,Apr,2.1,4
2000-05-01,2000,May,4.0,5
2000-06-01,2000,Jun,5.0,6
2000-07-01,2000,Jul,3.1,7
2000-08-01,2000,Aug,5.0,8
2000-09-01,2000,Sep,5.1,9
